ProductID,Name,ProductNumber,Product Subcategory ID,Color,Size,Stock Level,Supplier
1,Adjustable Race,AR-5381,21,Black,58,461,Supplier 1
2,Bearing Ball,BA-8327,29,Black,58,343,Supplier 5
3,BB Ball Bearing,BE-2349,8,Black,58,172,Supplier 6
4,Headset Ball Bearings,BE-2908,6,Silver,58,111,Supplier 2
5,Blade,BL-2036,5,Silver,58,262,Supplier 5
6,LL Crankarm,CA-5965,16,Black,58,399,Supplier 6
7,ML Crankarm,CA-6738,22,Black,58,396,Supplier 2
8,HL Crankarm,CA-7457,16,Black,58,240,Supplier 2
9,Chainring Bolts,CB-2903,10,Silver,M,110,Supplier 8
10,Chainring Nut,CN-6137,3,Silver,L,270,Supplier 2
11,Chainring,CR-7833,15,Black,M,468,Supplier 5
12,Crown Race,CR-9981,32,Black,L,474,Supplier 4
13,Chain Stays,CS-2812,10,Black,M,135,Supplier 9
14,Decal 1,DC-8732,7,Black,L,241,Supplier 4
15,Decal 2,DC-9824,34,Silver,S,490,Supplier 3
16,Down Tube,DT-2377,3,Silver,M,404,Supplier 6
17,Mountain End Caps,EC-M092,16,Black,L,219,Supplier 3
18,Road End Caps,EC-R098,19,Black,XL,286,Supplier 9
19,Touring End Caps,EC-T209,27,Black,58,366,Supplier 9
20,Fork End,FE-3760,34,Black,58,441,Supplier 7
21,Freewheel,FH-2981,4,Silver,58,385,Supplier 8
22,Flat Washer 1,FW-1000,5,Silver,58,154,Supplier 3
23,Flat Washer 6,FW-1200,8,Black,58,208,Supplier 5
24,Flat Washer 2,FW-1400,19,Black,58,147,Supplier 8
25,Flat Washer 9,FW-3400,22,Black,58,138,Supplier 1
26,Flat Washer 4,FW-3800,9,Black,58,449,Supplier 1
27,Flat Washer 3,FW-5160,3,Silver,M,491,Supplier 1
28,Flat Washer 8,FW-5800,15,Silver,L,134,Supplier 9
29,Flat Washer 5,FW-7160,27,Black,M,178,Supplier 2
30,Flat Washer 7,FW-9160,13,Black,L,260,Supplier 4
31,Fork Crown,FC-3654,11,Black,M,375,Supplier 4
32,Front Derailleur Cage,FC-3982,33,Black,L,209,Supplier 1
33,Front Derailleur Linkage,FL-2301,34,Silver,S,326,Supplier 3
34,Guide Pulley,GP-0982,21,Silver,M,425,Supplier 6
35,LL Grip Tape,GT-0820,32,Black,L,240,Supplier 3
36,ML Grip Tape,GT-1209,27,Black,XL,335,Supplier 4
37,HL Grip Tape,GT-2908,24,Black,58,348,Supplier 4
38,Thin-Jam Hex Nut 9,HJ-1213,12,Black,58,113,Supplier 7
39,Thin-Jam Hex Nut 10,HJ-1220,15,Silver,58,173,Supplier 1
40,Thin-Jam Hex Nut 1,HJ-1420,8,Silver,58,162,Supplier 7
41,Thin-Jam Hex Nut 2,HJ-1428,33,Black,58,292,Supplier 6
42,Thin-Jam Hex Nut 15,HJ-3410,37,Black,58,164,Supplier 4
43,Thin-Jam Hex Nut 16,HJ-3416,13,Black,58,289,Supplier 7
44,Thin-Jam Hex Nut 5,HJ-3816,10,Black,58,445,Supplier 4
45,Thin-Jam Hex Nut 6,HJ-3824,26,Silver,M,325,Supplier 6
46,Thin-Jam Hex Nut 3,HJ-5161,36,Silver,L,252,Supplier 8
47,Thin-Jam Hex Nut 4,HJ-5162,34,Black,M,495,Supplier 1
48,Thin-Jam Hex Nut 13,HJ-5811,16,Black,L,477,Supplier 3
49,Thin-Jam Hex Nut 14,HJ-5818,12,Black,M,208,Supplier 8
50,Thin-Jam Hex Nut 7,HJ-7161,4,Black,L,280,Supplier 7
51,Thin-Jam Hex Nut 8,HJ-7162,8,Silver,S,453,Supplier 9
52,Thin-Jam Hex Nut 12,HJ-9080,31,Silver,M,137,Supplier 1
53,Thin-Jam Hex Nut 11,HJ-9161,5,Black,L,326,Supplier 1
54,Hex Nut 5,HN-1024,1,Black,XL,199,Supplier 2
55,Hex Nut 6,HN-1032,20,Black,58,220,Supplier 7
56,Hex Nut 16,HN-1213,3,Black,58,335,Supplier 9
57,Hex Nut 17,HN-1220,4,Silver,58,272,Supplier 3
58,Hex Nut 7,HN-1224,7,Silver,58,293,Supplier 7
59,Hex Nut 8,HN-1420,18,Black,58,384,Supplier 3
60,Hex Nut 9,HN-1428,25,Black,58,377,Supplier 1
61,Hex Nut 22,HN-3410,31,Black,58,408,Supplier 6
62,Hex Nut 23,HN-3416,19,Black,58,165,Supplier 6
63,Hex Nut 12,HN-3816,30,Silver,M,437,Supplier 8
64,Hex Nut 13,HN-3824,30,Silver,L,255,Supplier 8
65,Hex Nut 1,HN-4402,8,Black,M,282,Supplier 4
66,Hex Nut 10,HN-5161,20,Black,L,171,Supplier 7
67,Hex Nut 11,HN-5162,24,Black,M,181,Supplier 5
